"Countryres","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","CurrentOccup","Timeinposyr","Timeinposmn","Communitysize","MaritalStatus","Numsons","Numdaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","UCONSPRO","OTHCONSPRO","dpmean","aipmean","gpmean","swlsmean","Rank","RankChng","HDI","HDICHNG","HDICAT"
"United States",55,"Female","No Kids","phd","full-time",87500,"",0,0,"Small Town","","0",0,5,5,4,3,3,1,1,5,4,4,4,5,5,3,5,2,2,2,2,5,5,1,3,2,2,2,4,4,4,4,4,5,2,4,5,5,2,4,4,3,3,3,3,4,1,"yes","yes",4,3.33333333333333,3.45,2.8,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","deg","full-time",NA,"",13,0,"Large Town","Married","0",0,2,2,2,1,2,2,3,2,4,3,4,4,3,4,4,2,3,2,3,4,4,3,3,3,3,3,3,3,4,2,3,3,2,3,4,5,3,5,4,5,2,3,4,4,3,"yes","yes",1.8,3.13333333333333,3.4,3.2,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","No Kids","deg","full-time",87500,"",5,5,"Village","Single","0",0,3,1,5,2,2,1,1,4,2,3,5,5,4,2,3,2,3,3,1,3,5,1,3,4,4,3,5,5,5,5,5,5,1,1,4,4,5,3,4,4,5,4,4,4,4,"yes","yes",2.6,2.8,3.8,4.2,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","Yes Kids","ma","student",15000,"",2,0,"Small Town","Married","1",0,3,3,3,2,2,2,1,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,3,2,1,2,2,3,4,2,4,2,2,3,3,3,4,3,4,3,"no","no",2.6,2.13333333333333,2.5,3.4,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Female","No Kids","phd","full-time",250000,"",6,6,"Village","Single","0",0,3,2,2,2,2,1,4,2,4,4,4,4,4,4,4,1,5,1,5,2,3,1,1,4,2,2,3,2,4,4,4,4,2,2,4,2,2,3,3,3,4,4,4,4,4,"yes","yes",2.2,3.26666666666667,2.75,4,"10","(1)",0.92,"0.002","Very High"
"United States",37.5,"Female","No Kids","ma","student",15000,"",2,0,"Small Town","Single","0",0,5,4,2,1,1,1,2,2,4,5,5,3,5,5,5,2,4,3,3,4,5,1,5,3,1,2,4,3,5,3,4,5,2,5,4,3,2,5,3,5,1,1,1,1,1,"yes","yes",2.6,3.53333333333333,3.5,1,"10","(1)",0.92,"0.002","Very High"
"United States",24,"Female","No Kids","phd","student",10000,"",0,0,"Large Town","Single","0",0,3,4,5,3,5,4,4,5,5,4,3,4,5,5,5,4,5,5,4,2,5,3,3,5,5,2,5,4,5,5,5,5,4,5,5,5,5,5,2,2,2,3,3,1,4,"yes","yes",4,4.26666666666667,4.25,2.6,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","Yes Kids","phd","retired",25000,"",6,3,"Small Town","Divorced","1",1,2,2,2,1,1,1,1,5,2,2,1,1,3,2,2,1,4,4,1,1,2,1,1,4,1,1,3,3,3,1,1,3,3,2,3,2,1,2,1,2,1,4,5,5,4,"no","no",1.6,2.06666666666667,2,3.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","No Kids","phd","full-time",150000,"",NA,0,"Large Town","Married","0",0,4,4,3,4,4,5,2,5,4,5,4,5,5,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4,4,4,2,5,5,3,3,2,4,2,"yes","yes",3.8,4.06666666666667,3.95,2.8,"10","(1)",0.92,"0.002","Very High"
"United States",37.5,"Female","No Kids","deg","full-time",250000,"",7,2,"Village","Single","0",0,3,3,3,2,2,1,2,3,4,3,1,3,3,1,4,4,4,4,4,2,3,2,1,4,3,3,3,4,4,4,3,3,3,3,3,4,2,5,4,5,4,5,5,4,4,"no","yes",2.6,2.86666666666667,3.3,4.4,"10","(1)",0.92,"0.002","Very High"
"United States",19,"Male","No Kids","ltuni","part-time",10000,"",1,0,"Village","Single","0",0,2,2,1,1,1,1,1,4,2,2,2,2,4,2,2,3,2,2,2,2,3,1,2,3,2,3,3,2,3,2,2,3,2,3,3,4,4,3,4,2,4,4,5,5,4,"no","no",1.4,2.2,2.7,4.4,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","phd","full-time",45000,"",6,0,"Rural/Country","Divorced","0",0,5,5,5,5,5,5,3,5,3,5,2,4,5,5,5,4,3,3,4,5,1,1,3,3,4,4,4,4,5,4,2,5,5,4,5,4,4,5,5,5,2,2,3,3,1,"yes","yes",5,4.06666666666667,3.85,2.2,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","Yes Kids","deg","full-time",150000,"",6,4,"Large Town","Married","0",3,2,3,2,2,2,1,3,5,4,3,4,4,2,1,5,2,3,2,4,3,4,2,3,5,1,3,3,3,4,5,5,3,2,2,3,3,2,3,3,2,5,5,5,5,5,"yes","no",2.2,3.06666666666667,3.05,5,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Male","No Kids","ma","full-time",35000,"",13,9,"Small Town","Divorced","0",0,4,3,2,3,3,1,2,3,4,4,5,4,4,4,5,3,5,2,4,4,4,2,5,5,1,5,2,4,4,2,3,4,2,4,4,5,1,4,2,4,3,3,3,4,1,"yes","yes",3,3.6,3.35,2.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","Yes Kids","ltuni","full-time",67500,"",NA,0,"Large Town","Divorced","1",0,3,3,3,2,2,1,1,3,3,3,5,4,2,4,4,4,5,1,5,1,3,3,3,5,3,2,3,3,3,4,3,3,2,2,4,4,3,3,3,3,3,4,3,3,3,"yes","yes",2.6,3.06666666666667,3.1,3.2,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","deg","full-time",35000,"",4,5,"Village","Divorced","0",0,3,3,3,3,3,1,1,5,1,5,5,3,4,3,5,4,4,5,2,5,3,3,5,2,3,3,4,3,4,2,3,3,1,1,4,5,3,4,5,5,3,3,3,3,2,"yes","no",3,3.53333333333333,3.3,2.8,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","No Kids","ltuni","part-time",25000,"",2,2,"Village","Single","0",0,3,3,3,3,3,3,3,5,5,3,3,5,2,3,4,2,4,4,4,3,4,1,3,4,2,2,1,4,2,4,1,3,3,2,4,4,4,3,3,3,3,4,4,2,5,"yes","yes",3,3.53333333333333,2.85,3.6,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Male","No Kids","ltuni","full-time",67500,"",6,0,"Village","Married","0",0,4,4,3,4,4,4,2,3,4,4,4,4,4,4,5,4,5,5,4,5,4,3,3,2,3,5,4,4,5,3,4,4,4,3,4,5,5,5,5,5,3,3,3,3,2,"yes","yes",3.8,4.06666666666667,4,2.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","Yes Kids","ma","full-time",35000,"",1,0,"Small Town","Divorced","2",0,4,4,4,3,3,3,2,2,3,3,4,3,4,4,3,3,4,4,4,3,4,2,4,3,3,4,4,4,4,2,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,"yes","yes",3.6,3.26666666666667,3.6,3.2,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Male","No Kids","phd","full-time",150000,"",0,0,"Rural/Country","Single","0",0,2,4,4,2,2,3,4,5,5,4,2,4,4,4,3,3,5,4,4,3,3,2,3,2,3,3,4,2,4,2,5,4,4,4,4,5,4,3,3,3,4,4,4,4,3,"yes","yes",2.8,3.8,3.35,3.8,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Male","No Kids","deg","full-time",25000,"",0,6,"Medium-Sized","Single","0",0,4,3,2,3,3,3,2,5,4,3,3,4,3,3,4,4,3,3,3,4,4,2,3,3,3,3,4,3,5,3,4,4,3,4,3,4,4,4,4,4,3,4,3,3,2,"yes","yes",3,3.4,3.55,3,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Male","Yes Kids","phd","full-time",55000,"",14,0,"Large Town","Divorced","1",2,4,3,4,3,3,2,2,3,3,3,1,4,4,3,3,3,4,3,3,3,3,2,3,3,2,3,3,4,3,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3,2,"yes","yes",3.4,2.93333333333333,3.15,2.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","No Kids","ma","part-time",15000,"",0,7,"Rural/Country","Single","0",0,4,3,4,3,3,4,2,5,3,4,4,4,3,4,4,4,3,4,1,5,5,4,4,2,3,3,4,3,4,2,4,5,4,3,4,5,5,4,5,5,2,3,2,2,2,"yes","yes",3.4,3.6,3.9,2.2,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","Yes Kids","deg","student",45000,"",6,6,"Small Town","Married","0",1,5,4,3,1,1,1,1,4,3,3,5,4,4,2,3,3,2,2,3,1,5,1,2,4,1,1,3,4,4,2,2,5,1,1,5,2,1,5,4,1,3,4,3,5,3,"yes","yes",2.8,2.73333333333333,2.7,3.6,"10","(1)",0.92,"0.002","Very High"
"United States",37.5,"Female","No Kids","ma","full-time",45000,"",6,9,"","Single","0",0,2,2,1,1,1,1,2,5,3,2,1,3,3,2,3,1,3,2,3,2,3,1,2,5,1,1,2,2,3,2,3,3,2,3,3,3,1,3,3,3,4,4,4,3,3,"yes","yes",1.4,2.4,2.45,3.6,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","ltuni","full-time",67500,"",8,0,"Village","Single","0",0,4,1,1,1,1,5,2,2,4,4,1,3,2,5,4,1,2,3,2,5,4,1,2,2,5,5,5,1,4,3,4,5,5,5,3,3,2,3,2,4,3,3,3,3,3,"yes","no",1.6,3,3.4,3,"10","(1)",0.92,"0.002","Very High"
"United States",37.5,"Female","Yes Kids","ma","full-time",150000,"",10,4,"Village","Divorced","0",1,3,2,1,1,1,1,2,1,3,2,4,1,3,2,2,3,4,5,3,2,4,1,1,3,2,2,3,1,5,4,2,4,2,3,4,2,3,3,2,4,4,5,4,5,4,"yes","no",1.6,2.53333333333333,2.75,4.4,"10","(1)",0.92,"0.002","Very High"
"United States",37.5,"Female","No Kids","ma","full-time",45000,"",3,0,"Large Town","Single","0",0,3,3,1,1,1,2,2,2,5,2,1,3,3,2,3,1,1,2,5,1,4,1,1,5,3,2,3,2,4,1,3,3,3,3,3,3,3,3,4,4,3,3,4,4,1,"yes","no",1.8,2.33333333333333,2.9,3,"10","(1)",0.92,"0.002","Very High"
"United States",23,"Female","No Kids","ma","student",10000,"",4,0,"Small Town","Single","0",0,4,4,4,3,3,2,4,4,4,3,4,3,2,2,3,3,5,4,5,3,2,2,2,4,5,2,3,5,4,3,4,3,3,3,3,3,3,4,2,4,5,4,4,5,5,"yes","no",3.6,3.4,3.2,4.6,"10","(1)",0.92,"0.002","Very High"
"United States",21,"Male","No Kids","ltuni","student",15000,"",3,0,"Village","Single","0",0,1,2,2,1,1,1,1,3,2,1,1,3,4,1,3,3,2,3,1,2,3,2,2,3,1,2,2,3,3,1,4,2,2,3,4,4,3,3,1,2,3,4,3,3,3,"no","no",1.4,2.06666666666667,2.5,3.2,"10","(1)",0.92,"0.002","Very High"
"United States",23,"Female","No Kids","ltuni","student",10000,"",2,0,"Village","Single","0",0,4,5,1,3,2,2,5,2,3,4,2,1,2,4,5,3,1,5,1,5,5,1,1,5,5,3,3,3,5,2,4,5,1,3,4,3,2,5,1,3,1,1,1,3,1,"yes","no",3,3,3.2,1.4,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","No Kids","deg","full-time",87500,"",NA,0,"Village","Married","0",0,3,3,3,2,2,2,2,2,4,3,2,3,4,2,4,3,4,3,3,2,3,2,2,5,4,3,2,3,3,4,3,3,3,3,4,1,2,2,3,3,4,4,4,4,3,"yes","no",2.6,2.86666666666667,2.9,3.8,"10","(1)",0.92,"0.002","Very High"
"United States",21,"Male","No Kids","deg","",NA,"",0,0,"Village","Single","0",0,3,3,3,2,2,1,2,2,5,5,1,4,4,4,5,4,3,4,2,5,5,4,3,5,3,2,5,3,4,5,3,5,1,5,3,2,4,5,3,4,2,2,1,4,1,"yes","yes",2.6,3.4,3.7,2,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","Yes Kids","phd","retired",150000,"",0,0,"Small Town","Married","2",0,3,3,2,3,3,1,4,3,5,4,1,4,4,4,4,1,5,3,5,3,4,1,2,5,2,2,5,3,5,5,5,4,3,4,4,5,4,3,5,2,4,4,4,5,4,"yes","yes",2.8,3.4,3.65,4.2,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","Yes Kids","deg","full-time",55000,"",NA,0,"Rural/Country","Married","3",0,4,4,4,4,4,1,1,4,2,4,4,4,3,1,3,1,3,2,3,3,4,2,1,2,2,2,4,5,5,1,5,3,5,5,5,4,1,3,4,3,3,3,4,5,3,"yes","yes",4,2.6,3.3,3.6,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","Yes Kids","ma","full-time",87500,"",0,0,"Small Town","Married","0",3,4,5,5,5,5,1,2,3,3,2,2,2,2,3,2,4,2,2,1,3,3,2,5,1,4,5,3,4,4,2,3,2,3,5,2,3,2,4,2,4,1,1,1,1,1,"yes","yes",4.8,2.26666666666667,3.15,1,"10","(1)",0.92,"0.002","Very High"
"United States",23,"Male","No Kids","dip","full-time",45000,"",1,4,"Rural/Country","Single","0",0,2,3,3,2,2,2,1,3,2,2,1,3,4,2,4,4,1,4,2,3,3,1,4,5,3,3,2,2,3,1,3,3,4,4,2,4,2,4,2,4,1,2,1,1,1,"no","no",2.4,2.53333333333333,2.95,1.2,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","Yes Kids","ltuni","full-time",25000,"",0,0,"Small Town","Divorced","2",1,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,5,5,5,4,4,4,3,5,3,4,3,4,4,2,3,4,2,4,4,5,5,4,4,5,5,2,1,3,2,1,"yes","yes",4,4.13333333333333,3.85,1.8,"10","(1)",0.92,"0.002","Very High"
"United States",20,"Female","No Kids","ltuni","student",NA,"",0,1,"Medium-Sized","Single","0",0,3,1,1,1,1,1,2,1,3,1,1,1,3,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,2,2,3,3,1,3,1,4,4,4,5,3,"yes","no",1.4,1.53333333333333,1.6,4,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Male","No Kids","ma","full-time",250000,"",10,0,"Large Town","Single","0",0,5,4,4,3,4,1,2,3,3,3,3,4,4,3,4,4,4,3,2,3,3,2,4,5,3,4,4,4,4,3,4,3,2,3,4,4,4,3,4,2,3,3,2,3,4,"yes","yes",4,3.06666666666667,3.45,3,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","No Kids","ma","full-time",150000,"",2,0,"Small Town","Married","0",0,2,2,2,1,1,1,2,4,4,2,3,3,3,2,2,2,4,2,2,3,3,2,3,5,1,4,3,3,3,2,4,3,1,2,4,1,1,4,3,4,4,4,4,4,4,"yes","no",1.6,2.6,2.8,4,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","Yes Kids","deg","full-time",150000,"",4,10,"Small Town","Married","1",2,4,3,2,3,3,4,2,5,4,3,2,4,4,2,4,2,1,2,4,5,5,4,3,2,3,1,3,4,3,2,2,3,4,4,4,4,5,4,3,5,5,5,5,5,5,"no","yes",3,3.2,3.4,5,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Male","No Kids","phd","student",15000,"",3,0,"Village","Single","0",0,3,4,3,2,2,4,1,3,1,2,1,1,2,2,3,1,1,4,1,2,2,2,3,2,4,2,3,3,3,1,1,3,4,3,2,3,2,3,1,2,2,2,2,2,2,"no","no",2.8,1.93333333333333,2.45,2,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Male","Yes Kids","phd","full-time",67500,"",13,0,"Small Town","Married","1",2,4,4,2,2,2,1,1,5,4,2,3,4,4,3,4,3,3,2,2,4,4,3,4,1,2,5,5,3,5,4,3,4,4,5,4,4,4,4,4,3,3,3,3,3,2,"yes","yes",2.8,3,3.75,2.8,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Female","No Kids","ma","unemployed",250000,"",0,0,"Village","Single","0",0,3,3,4,4,4,5,4,5,4,4,2,5,5,4,4,5,5,5,4,5,5,4,4,3,4,5,5,4,5,3,5,5,5,5,5,5,5,5,5,4,3,3,3,2,1,"yes","yes",3.6,4.4,4.55,2.4,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","phd","part-time",NA,"",0,7,"Large-City","Married","0",0,3,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,4,2,4,3,3,1,2,3,1,3,3,2,3,3,3,4,3,3,4,3,2,3,3,3,3,3,3,4,2,"yes","yes",2.2,3.2,2.75,3,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","No Kids","ma","full-time",55000,"",0,11,"Village","Married","0",0,5,4,5,2,2,1,2,4,3,3,2,4,4,4,5,1,1,1,1,2,5,1,2,5,4,1,4,2,5,1,2,2,1,1,4,4,2,4,4,3,3,3,3,5,2,"yes","yes",3.6,2.53333333333333,2.85,3.2,"10","(1)",0.92,"0.002","Very High"
"United States",25,"Female","No Kids","deg","full-time",15000,"",1,0,"Rural/Country","Single","0",0,4,4,3,3,3,1,4,5,5,5,4,4,5,5,5,3,5,2,4,5,5,3,4,4,3,5,5,5,5,4,4,5,3,3,5,3,4,5,4,3,2,4,2,3,4,"yes","yes",3.4,4.13333333333333,4.1,3,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Male","No Kids","phd","full-time",87500,"",2,0,"Village","Single","0",0,3,4,3,3,3,1,1,5,3,2,1,4,3,3,3,5,3,4,2,5,4,1,3,5,2,2,3,3,4,2,2,4,2,3,3,5,4,3,5,3,1,1,2,3,2,"yes","no",3.2,3,3.15,1.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","Yes Kids","ma","part-time",55000,"",0,0,"Medium-Sized","Married","2",1,3,3,3,3,3,2,2,3,4,3,2,2,3,2,3,2,3,3,3,2,3,3,3,2,2,2,3,3,3,3,4,3,2,3,3,4,3,2,3,2,4,4,4,4,3,"yes","no",3,2.6,2.8,3.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","Yes Kids","dip","full-time",35000,"",5,0,"Small Town","Divorced","1",1,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,"yes","yes",4,3.66666666666667,3.9,2.4,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","No Kids","ma","full-time",NA,"",2,0,"Village","Married","0",0,2,1,1,1,1,1,1,4,1,3,1,1,5,3,1,1,1,2,1,1,2,1,1,1,1,1,1,3,3,1,1,3,2,2,3,4,3,2,3,2,3,4,3,5,4,"no","no",1.2,1.8,2,3.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","Yes Kids","deg","full-time",150000,"",0,3,"Village","Married","1",2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,3,3,1,1,1,5,5,5,5,5,"no","no",1,1.26666666666667,1.4,5,"10","(1)",0.92,"0.002","Very High"
"United States",22,"Female","No Kids","deg","student",10000,"",0,0,"Rural/Country","Single","0",0,2,4,2,1,1,1,2,5,3,2,1,4,3,2,4,4,3,3,3,3,3,3,4,3,4,3,3,1,4,2,4,4,2,3,4,5,5,3,4,4,4,4,4,5,4,"yes","yes",2,2.86666666666667,3.4,4.2,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","ma","full-time",55000,"",0,0,"Village","","0",0,3,3,2,2,2,4,3,5,4,3,2,4,4,3,3,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,2,3,4,4,4,5,5,"yes","yes",2.4,3.53333333333333,3.45,4.4,"10","(1)",0.92,"0.002","Very High"
"United States",24,"Male","No Kids","grade","student",15000,"",0,0,"","Single","0",0,5,4,4,2,2,1,2,2,4,2,4,3,1,3,5,1,2,4,3,3,4,2,2,5,1,4,5,3,5,1,1,4,1,2,3,4,5,3,2,3,5,5,5,5,3,"yes","no",3.4,2.66666666666667,3,4.6,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","No Kids","ma","retired",87500,"",1,0,"Large Town","","0",0,3,4,4,3,3,2,5,5,5,3,2,5,4,2,3,4,5,3,5,5,4,2,2,5,3,2,5,5,5,3,5,5,5,4,5,4,3,4,5,5,3,4,4,3,2,"yes","yes",3.4,3.86666666666667,4.05,3.2,"10","(1)",0.92,"0.002","Very High"
"United States",37.5,"Male","No Kids","ltuni","full-time",25000,"",5,2,"Rural/Country","Single","0",0,4,4,5,2,2,2,3,5,5,3,1,5,4,4,5,5,5,5,4,5,5,3,3,4,3,4,4,4,5,3,4,3,4,5,5,4,5,4,5,4,2,2,3,2,1,"yes","yes",3.4,4.06666666666667,4.05,2,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","No Kids","phd","full-time",150000,"",13,0,"Large-City","Married","0",0,3,2,2,2,2,1,1,4,4,3,2,2,4,4,4,1,1,3,1,3,4,2,1,1,1,1,4,2,4,1,5,4,1,3,2,5,5,4,4,5,4,4,4,3,2,"yes","no",2.2,2.53333333333333,2.95,3.4,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","No Kids","deg","full-time",35000,"",2,0,"Small Town","Single","0",0,2,4,4,4,4,1,1,1,1,5,4,3,4,4,4,2,3,2,2,2,4,2,2,3,3,5,4,4,5,2,2,5,1,2,4,2,2,4,4,4,3,3,3,4,4,"yes","no",3.6,2.6,3.2,3.4,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","No Kids","ma","student",25000,"",0,8,"Village","Single","0",0,3,4,4,4,4,5,3,5,4,5,4,5,5,5,5,3,5,5,5,4,4,4,4,3,4,3,4,4,4,5,5,4,4,4,4,3,4,5,4,5,3,3,4,4,4,"yes","yes",3.8,4.53333333333333,4.05,3.6,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","deg","full-time",45000,"",9,4,"Medium-Sized","Married","0",0,3,3,2,2,2,1,1,3,3,3,1,2,1,2,3,3,3,3,2,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,5,1,1,1,1,1,"yes","no",2.4,2.26666666666667,2.95,1,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","No Kids","phd","full-time",45000,"",2,9,"Small Town","Married","0",0,4,4,5,5,5,1,2,5,2,2,5,4,4,2,5,4,3,2,2,3,5,4,4,3,3,4,4,3,4,1,3,4,1,4,4,4,3,5,5,4,4,4,4,4,3,"yes","yes",4.6,3.06666666666667,3.6,3.8,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Female","No Kids","ma","unemployed",25000,"",14,0,"Village","Single","0",0,5,4,5,2,2,1,2,4,5,5,4,3,1,3,5,5,5,5,3,1,4,1,1,5,1,3,5,5,5,2,5,5,1,1,3,2,3,4,5,3,1,1,1,1,1,"yes","no",3.6,3.46666666666667,3.2,1,"10","(1)",0.92,"0.002","Very High"
"United States",21,"Male","No Kids","ltuni","student",10000,"",0,0,"Village","Single","0",0,1,2,1,1,2,4,1,3,1,1,2,1,5,1,1,4,2,2,1,1,1,1,1,1,3,1,1,3,4,1,2,4,2,4,4,2,2,5,1,4,5,5,5,4,4,"no","no",1.4,2,2.35,4.6,"10","(1)",0.92,"0.002","Very High"
"United States",37.5,"Female","Yes Kids","ltuni","full-time",25000,"",7,0,"Rural/Country","Married","1",2,3,4,3,4,3,5,1,3,2,4,4,3,3,2,4,5,2,4,1,1,5,1,3,3,4,4,3,4,4,2,5,4,4,4,5,4,2,4,4,4,2,3,3,4,3,"yes","yes",3.4,2.93333333333333,3.65,3,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Female","No Kids","phd","student",87500,"",3,8,"Small Town","Married","0",0,2,1,3,2,2,3,1,1,1,2,1,2,4,2,2,3,1,4,1,3,2,1,1,4,3,4,3,4,2,1,4,2,3,4,4,4,2,5,3,5,2,2,3,3,3,"yes","no",2,2.06666666666667,3.05,2.6,"10","(1)",0.92,"0.002","Very High"
"United States",21,"Female","No Kids","ltuni","student",NA,"",0,0,"Small Town","Single","0",0,2,2,2,1,1,2,2,5,3,3,3,3,4,3,3,2,4,2,2,3,3,2,2,4,3,2,3,2,3,3,4,3,2,2,3,3,3,3,2,3,4,4,4,4,4,"yes","yes",1.6,2.93333333333333,2.75,4,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Male","No Kids","phd","full-time",87500,"",9,0,"Village","Divorced","0",0,2,2,3,2,2,2,1,3,3,2,1,2,2,1,2,4,1,4,3,3,2,2,2,3,2,3,1,3,3,1,3,3,4,4,2,5,4,2,2,2,5,4,5,5,3,"no","no",2.2,2.26666666666667,2.65,4.4,"10","(1)",0.92,"0.002","Very High"
"United States",55,"Male","Yes Kids","ltuni","full-time",NA,"",10,0,"Large Town","Divorced","1",1,4,3,2,2,2,3,3,4,5,3,1,5,3,2,4,2,3,4,5,3,3,1,2,2,1,1,3,3,3,2,3,3,5,2,3,3,2,3,3,3,2,3,3,4,3,"yes","yes",2.6,3.33333333333333,2.55,3,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Male","No Kids","ma","full-time",150000,"",0,0,"Village","Married","0",0,5,5,5,3,5,3,1,3,3,3,4,5,3,3,5,2,4,3,3,5,4,3,3,3,4,2,4,3,5,5,3,5,4,4,4,4,4,4,5,4,4,5,4,5,3,"yes","yes",4.6,3.33333333333333,3.85,4.2,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","No Kids","phd","full-time",55000,"",10,7,"Village","","0",0,3,3,5,3,3,2,2,4,3,3,2,3,3,2,3,3,2,1,2,2,3,1,3,2,2,2,2,5,4,2,2,3,3,3,3,5,3,4,2,3,4,4,4,5,4,"yes","yes",3.4,2.46666666666667,2.85,4.2,"10","(1)",0.92,"0.002","Very High"
"United States",32.5,"Male","No Kids","ma","full-time",67500,"",7,0,"Village","Single","0",0,3,2,2,2,2,2,2,5,3,2,4,1,2,2,3,3,2,2,2,3,3,2,2,2,2,4,2,2,3,1,2,3,3,2,2,4,2,3,3,3,4,4,4,4,3,"no","no",2.2,2.53333333333333,2.5,3.8,"10","(1)",0.92,"0.002","Very High"
"United States",28,"Male","No Kids","deg","part-time",25000,"",1,9,"Small Town","Single","0",0,4,4,5,1,1,2,2,3,3,2,2,4,3,1,3,3,2,2,3,2,4,1,5,5,1,4,3,4,4,3,3,5,2,3,3,5,5,1,5,3,4,4,3,5,4,"yes","yes",3,2.46666666666667,3.45,4,"10","(1)",0.92,"0.002","Very High"
"United States",45,"Female","Yes Kids","phd","full-time",150000,"",0,0,"Small Town","Married","2",1,3,4,2,2,2,1,1,1,1,3,4,2,3,1,3,3,1,2,1,2,3,2,3,1,1,2,3,3,3,1,4,3,1,2,3,3,2,4,4,3,3,4,4,4,2,"yes","no",2.6,1.93333333333333,2.55,3.4,"10","(1)",0.92,"0.002","Very High"
